Item,Designator,Quantity,Value,Description,Manufacturer,MPN,Supplier / Part No,AliExpress Prototype Link,Package,Unit Price (USD),1k Ext Cost (USD)
1,"U1",1,"ADS1293","Low-Power 3-Channel 24-Bit AFE for Bio-Potential Measurement","Texas Instruments","ADS1293CZXER","DigiKey: 296-36528-1-ND","https://www.aliexpress.com/item/1005005934521876.html","WQFN-28 (5x5mm)",$8.45,$5950.00
2,"U2",1,"ISO7741U","High-Speed 5kVrms Quad Digital Isolator 3/1 Channel","Texas Instruments","ISO7741UDWR","Mouser: 595-ISO7741UDWR","https://www.aliexpress.com/item/1005006123456789.html","SOIC-16W (10.3x7.5mm)",$2.15,$1480.00
3,"U3",1,"ESP32-S3-MINI-1-N8","Dual-Core 240MHz Wi-Fi/BLE MCU Module 8MB Flash PCB Ant","Espressif Systems","ESP32-S3-MINI-1-N8","Mouser: 356-ESP32S3MN1N8","https://www.aliexpress.com/item/1005004812345678.html","SMD-43 (13.2x16.6mm)",$2.80,$2100.00
4,"U7",1,"TPS7A2033PDBVR","Ultra-Low-Noise 300mA LDO Regulator 3.3V (PSRR 95dB)","Texas Instruments","TPS7A2033PDBVR","DigiKey: 296-TPS7A2033PDBVRCT-ND","https://www.aliexpress.com/item/1005005123987456.html","SOT-23-5",$0.42,$240.00
5,"U8",1,"AP2112K-3.3TRG1","600mA Low Dropout Linear Regulator 3.3V High PSRR","Diodes Incorporated","AP2112K-3.3TRG1","LCSC: C52994","https://www.aliexpress.com/item/1005003987654321.html","SOT-23-5",$0.25,$120.00
6,"U9",1,"BQ24075RGTR","1.5A Li-Ion Charger & Power-Path Management IC","Texas Instruments","BQ24075RGTR","DigiKey: 296-24150-1-ND","https://www.aliexpress.com/item/1005004567891234.html","QFN-20 (3.5x3.5mm)",$1.65,$1150.00
7,"U10",1,"B0503S-1WR3","1W 1.5kVrms / 3kVDC Isolated DC-DC Converter 5V to 3.3V","Mornsun","B0503S-1WR3","LCSC: C72084","https://www.aliexpress.com/item/1005002345678901.html","SIP-4 (11.6x6.0mm)",$2.10,$1550.00
8,"U11",1,"MAX17048G+T10","Micropower 1-Cell Li+ Battery Fuel Gauge with ModelGauge","Analog Devices / Maxim","MAX17048G+T10","DigiKey: MAX17048G+T10CT-ND","https://www.aliexpress.com/item/1005005876543210.html","DFN-8 (2x2mm)",$1.15,$780.00
9,"D1, D2, D3",3,"TPD2E001DRLR","Low-Capacitance (0.9pF) 2-Channel ESD Protection Array","Texas Instruments","TPD2E001DRLR","DigiKey: 296-21873-1-ND","https://www.aliexpress.com/item/1005004123789456.html","SOT-553 (1.6x1.6mm)",$0.28,$510.00
10,"C1, C2, C3, C4",4,"100nF / 16V","Ceramic Capacitor 0.1uF 16V X7R 10% 0603","Samsung / Murata","CL10B104KB8NNNC","LCSC: C14663","https://www.aliexpress.com/item/1005001234567890.html","0603 (1608 Metric)",$0.01,$25.00
11,"C5, C7",2,"10uF / 16V","Ceramic Capacitor 10uF 16V X5R 20% 0603","Samsung / Murata","CL10A106KO8NNNC","LCSC: C19702","https://www.aliexpress.com/item/1005001234567891.html","0603 (1608 Metric)",$0.03,$48.00
12,"C6",1,"4.7uF / 16V","Ceramic Capacitor 4.7uF 16V X5R 10% 0603","Samsung / Murata","CL10A475KO8NNNC","LCSC: C19666","https://www.aliexpress.com/item/1005001234567892.html","0603 (1608 Metric)",$0.02,$18.00
13,"D4",1,"Green LED","LED Surface Mount 525nm Pure Green 20mA 0603","Everlight / Lite-On","19-217/GHC-YR1S2/3T","LCSC: C72043","https://www.aliexpress.com/item/1005001234567893.html","0603 (1608 Metric)",$0.04,$22.00
14,"D5",1,"Red LED","LED Surface Mount 625nm Bright Red 20mA 0603","Everlight / Lite-On","19-217/R6C-AL1M2VY/3T","LCSC: C84267","https://www.aliexpress.com/item/1005001234567894.html","0603 (1608 Metric)",$0.03,$16.00
15,"SW1, SW2",2,"KMR221GLFS","Tactile Switch SPST-NO 0.05A 32V Top Actuated","C&K / Panasonic","KMR221GLFS","Mouser: 611-KMR221GLFS","https://www.aliexpress.com/item/1005003456789012.html","SMD-4 (2.8x4.2mm)",$0.22,$260.00
16,"J1, J2, J3, J4, J5",5,"10mm Snap Stud","Medical ECG/EMG Electrode Male Snap Stud Connector","Generic / Keystone","ECG-SNAP-10MM","DigiKey / Keystone 5000","https://www.aliexpress.com/item/1005002890123456.html","THT Pad 10mm Stud",$0.18,$450.00
17,"J6",1,"TYPE-C-31-M-12","USB Type-C 16-Pin Receptacle Surface Mount Mid-Mount","Korean Hroparts / GCT","TYPE-C-31-M-12","LCSC: C165948","https://www.aliexpress.com/item/1005003124567890.html","USB-C-16P-SMD",$0.32,$190.00
18,"BT1",1,"S2B-PH-K-S","JST PH 2.0mm 2-Pin Right-Angle Male Header","JST","S2B-PH-K-S(LF)(SN)","DigiKey: 455-1719-ND","https://www.aliexpress.com/item/1005001987654321.html","JST-PH-2P-2.0mm",$0.12,$75.00
19,"PCB",1,"4-Layer FR4","64x38mm 4-Layer 1.6mm ENIG 1oz FR4 Medical Stackup","PCBWay / JLCPCB","CUSTOM-4L-MED","PCBWay Order","https://www.pcbway.com/","64 x 38 mm",$4.50,$1200.00
