Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","LiPo_800mAh","JST_PH_S2B-PH-K-S_1x02_P2.00mm_Horizontal",126.500000,-114.500000,0.000000,top
"C1","100nF_AVDD","C_0603_1608Metric",83.500000,-94.500000,0.000000,top
"C2","100nF_DVDD","C_0603_1608Metric",86.000000,-94.500000,0.000000,top
"C3","100nF_ISO1","C_0603_1608Metric",88.500000,-94.500000,0.000000,top
"C4","100nF_ISO2","C_0603_1608Metric",108.000000,-88.500000,0.000000,top
"C5","10uF_ESP","C_0603_1608Metric",111.000000,-88.500000,0.000000,top
"C6","4.7uF_3V3","C_0603_1608Metric",115.500000,-114.500000,0.000000,top
"C7","10uF_BAT","C_0603_1608Metric",120.500000,-109.000000,0.000000,top
"D1","TPD2E001","TPD2E001_SOT-23",78.000000,-90.000000,0.000000,top
"D2","TPD2E001","TPD2E001_SOT-23",78.000000,-110.000000,0.000000,top
"D3","TPD2E001","TPD2E001_SOT-23",78.000000,-100.000000,0.000000,top
"D4","STATUS_GRN","LED_0603_1608Metric",124.000000,-85.000000,0.000000,top
"D5","ALERT_RED","LED_0603_1608Metric",127.000000,-85.000000,0.000000,top
"J1","ECG+","Snap_Button_Male_10mm",73.000000,-86.000000,0.000000,top
"J2","ECG-","Snap_Button_Male_10mm",83.000000,-86.000000,0.000000,top
"J3","RLD","Snap_Button_Male_10mm",72.000000,-100.000000,0.000000,top
"J4","EMG+","Snap_Button_Male_10mm",73.000000,-114.000000,0.000000,top
"J5","EMG-","Snap_Button_Male_10mm",83.000000,-114.000000,0.000000,top
"J6","USB_C","USB_C_Receptacle_16P_SurfaceMount",129.500000,-100.000000,90.000000,top
"SW1","RESET","SW_Push_SPST_NO_3x4mm",115.000000,-85.000000,0.000000,top
"SW2","BOOT","SW_Push_SPST_NO_3x4mm",120.000000,-85.000000,0.000000,top
"U1","ADS1293","ADS1293_WQFN-28_5x5mm",86.500000,-100.000000,0.000000,top
"U2","ISO7741U","ISO7741U_SOIC-16W_DWW",98.500000,-100.000000,0.000000,top
"U3","ESP32-S3-MINI-1","ESP32-S3-MINI-1",118.000000,-100.000000,0.000000,top
"U7","TPS7A2033","SOT-23-5",90.500000,-86.000000,0.000000,top
"U8","AP2112K-3.3","SOT-23-5",112.000000,-114.500000,0.000000,top
"U9","BQ24075","BQ24075_QFN-20_3.5x3.5mm",120.500000,-114.500000,0.000000,top
"U10","B0503S-1WR3","B0503S_1WR3_SIP-4",98.500000,-115.500000,0.000000,top
"U11","MAX17048","MAX17048_DFN-8_2x2mm",107.500000,-113.000000,0.000000,top
